scrape_order,search_link,product_link,brand,product_name,ukuran_porsi,energi,lemak,lemak_jenuh,lemak_trans,kolestrol,protein,karbohirdat,serat,gula,sodium,kalium,natrium,karbohidrat
1715569705-3641,https://www.fatsecret.co.id/kalori-gizi/search?q=Captain Oats,https://www.fatsecret.co.id/kalori-gizi/kelloggs/special-k-oats-honey/1-porsi,Kellogg's,Special K Oats & Honey,1 sendok makan (45 g),170_kkal,"1,00g","0,500g","0,000g",0,"3,00g",0,"5,0g","14,00g",0,0,0,0
1715569705-3642,https://www.fatsecret.co.id/kalori-gizi/search?q=Kellogg's,https://www.fatsecret.co.id/kalori-gizi/kelloggs/coco-pops/1-porsi,Kellogg's,Coco Pops,1 porsi (30 g),120_kkal,"0,50g","0,200g","0,000g",0,"2,00g",0,"0,8g","10,00g",135mg,0,0,0
1715569705-3643,https://www.fatsecret.co.id/kalori-gizi/search?q=Kellogg's,https://www.fatsecret.co.id/kalori-gizi/kelloggs/coco-fills/1-serving,Kellogg's,Coco Fills,1 serving (30 g),130_kkal,"4,00g","0,000g","0,000g",0,"3,00g",0,"3,0g","6,00g",70mg,0,0,0
1715569705-3644,https://www.fatsecret.co.id/kalori-gizi/search?q=Kent Protein,https://www.fatsecret.co.id/kalori-gizi/kent-protein/roasted-soy-bean/1-porsi,Kent Protein,Roasted Soy Bean,1 porsi (50 g),203_kkal,"13,40g","11,500g","1,900g",0,"21,17g",0,"9,4g","0,00g",0,0,0,0
1715569705-3645,https://www.fatsecret.co.id/kalori-gizi/search?q=Kent Protein,https://www.fatsecret.co.id/kalori-gizi/kent-protein/susu-kedelai/1-porsi,Kent Protein,Susu Kedelai,1 porsi (50 g),203_kkal,"13,40g","1,900g",0,0,"21,17g",0,"9,4g","0,00g",0,0,0,0
1715569705-3646,https://www.fatsecret.co.id/kalori-gizi/search?q=Kent Protein,https://www.fatsecret.co.id/kalori-gizi/kent-protein/kent-store/5-sendok-makan,Kent Protein,Kent Store,5 sendok makan (50 g),203_kkal,"12,00g","1,900g",0,0,"21,17g",0,"9,4g","0,00g",0mg,0mg,0,0
1715569705-3647,https://www.fatsecret.co.id/kalori-gizi/search?q=Kent Protein,https://www.fatsecret.co.id/kalori-gizi/kent-protein/bubuk-protein/5-sendok,Kent Protein,Bubuk Protein,5 sendok (50 g),203_kkal,"13,40g","1,900g",0,0,"21,17g",0,"9,4g","0,00g",0,0,0,0
1715569705-3648,https://www.fatsecret.co.id/kalori-gizi/search?q=Kepala Djenggot,https://www.fatsecret.co.id/kalori-gizi/kepala-djenggot/teh-hijau/1-gelas,Kepala Djenggot,Teh Hijau,1 gelas (200 ml),0_kkal,"0,00g","0,000g","0,000g",0,"0,00g",0,"0,0g","0,00g",0mg,0mg,0,0
1715569705-3649,https://www.fatsecret.co.id/kalori-gizi/search?q=Kewpie,https://www.fatsecret.co.id/kalori-gizi/kewpie/roasted-sesame-dressing/1-sdm,Kewpie,Roasted Sesame Dressing,1 sdm (25 ml),100_kkal,"9,00g","1,500g",0,0,"1,00g",0,0,"4,00g",176mg,0,0,0
1715569705-3650,https://www.fatsecret.co.id/kalori-gizi/search?q=Kewpie,https://www.fatsecret.co.id/kalori-gizi/kewpie/mayonais-original/1-porsi,Kewpie,Mayonais Original,1 sajian (15 g),110_kkal,"12,00g","2,000g","0,000g",0,"0,00g",0,"0,0g","0,00g",95mg,0mg,0,0
